file_name,purpose,description,usage,example_data,data_grain
stg_utilities_date.sql,Provides a clean calendar dimension spanning 1900-01-01 to 2099-12-31.,Exposes key date attributes for time-series analyses and joins.,Drive time-series joins, fill missing dates, and implement custom fiscal logic.,N/A,Day-level date
stg_common_party_address.sql,Consolidates party address details into a single view.,Normalizes field names, filters only active addresses.,Join to invoices, payments, and carrier tables for master data.,N/A,Party-level data
stg_common_facility.sql,Standardizes facility (site) master data for reporting.,Includes location metadata and geographic attributes.,Join to inventory and billing data for location-based reporting.,N/A,Facility-level data
stg_inventory_item.sql,Cleans and standardizes inventory master records.,Includes pricing base cost and categorization.,Feed into inventory consumption and COGS calculations.,N/A,Product-level data
stg_billing_invoice.sql,Base invoice header info for linking to invoice items and payments.,Filters only finalized invoices for revenue reporting.,Analyze invoice-level revenue and AR performance.,N/A,Invoice-level data
stg_billing_invoice_item.sql,Invoice line items for detailed revenue, discount, and tax analyses.,Compute net_line_amount in downstream layers, not here.,Analyze service-level revenue and AR performance.,N/A,Invoice item-level data
stg_encounter_patient_encounter.sql,Raw encounter events used for discharge and new-start metrics.,Discharge date null means ongoing encounter.,Analyze patient encounters for operational metrics.,N/A,Encounter-level data
stg_encounter_discharge_summary.sql,Summarized discharge records, capturing final outcome by encounter.,Use discharge_date for period assignment in fact tables.,Analyze discharge outcomes for operational and clinical metrics.,N/A,Discharge-level data
stg_encounter_patient_order.sql,Raw patient orders used to identify referrals and first starts.,OrderDate drives the "new start" logic in fact layers.,Analyze patient orders for referral and new-start metrics.,N/A,Order-level data
stg_billing_carrier.sql,Payer master list for AR & revenue slicing.,Only include carriers with active coverage periods covering invoice dates.,Join to claims and invoices for payer-level revenue analysis.,N/A,Payer-level data
stg_billing_patient_policy.sql,Links patients to payer policies over time for precise revenue segmentation.,Policy effective/termination dates used to assign revenue to the appropriate payer.,Determine payer mix and patient liability for revenue recognition.,N/A,Policy-level data
stg_party.sql,Core party entity for customers, payers, and vendors.,Expose status flag for active/inactive parties.,Join to invoices, payments, and carrier tables for master data.,N/A,Party-level data
stg_date.sql,Canonical date dimension scaffold.,Drive time-series joins, fill missing dates, custom fiscal logic.,Drive time-series joins, fill missing dates, and implement custom fiscal logic.,N/A,Day-level date
stg_billing_claim.sql,Raw claim headers for AR analysis.,Expose claim status for downstream reporting.,Analyze claim-level revenue and AR performance.,N/A,Claim-level data
stg_billing_claim_item.sql,Claim line item details for service-level AR.,Expose billed amount for revenue calculations.,Analyze service-level revenue and AR performance.,N/A,Claim item-level data
stg_inventory_item_location_quantity.sql,Track on-hand inventory quantity by location.,Expose on-hand quantity for inventory tracking.,Feed into inventory availability and stock-level reporting.,N/A,Inventory location-level data
stg_provider_dimension.sql,Normalize provider lookup with name, NPI, specialty, and active flag.,Add boolean flag for active status.,Link to invoices and claims to analyze provider performance.,N/A,Provider-level data
stg_payer_dimension.sql,Normalize payer lookup for revenue and claims analysis.,Include effective and termination dates for coverage tracking.,Join to claims and invoices for payer-level revenue analysis.,N/A,Payer-level data
stg_patient_policy.sql,Capture patient insurance coverage over time.,Expose coverage type for downstream payer mix analysis.,Determine payer mix and patient liability for revenue recognition.,N/A,Policy-level data
stg_patient_dimension.sql,Flatten patient demographic and primary policy lookup.,Join patient policies to expose primary insurance policy.,Join to claims, invoices, and encounters for patient-level KPIs.,N/A,Patient-level data
